page,x,y,width,height,stroke_color,fill_color,line_width
1,540.77,366.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,25.0,314.5,545.0,50.0,0 G,0 g,0.5
1,27.0,351.5,541.0,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,339.5,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,87.11,339.5,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,147.22,339.5,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,207.33,339.5,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,267.44,339.5,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,327.56,339.5,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,387.67,339.5,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,447.78,339.5,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,507.89,339.5,60.11,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,57.06,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,87.11,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,117.17,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,147.22,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,177.28,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,207.33,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,237.39,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,267.44,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,297.5,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,327.56,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,357.61,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,387.67,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,417.72,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,447.78,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,477.83,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,507.89,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,537.94,327.5,30.06,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,57.06,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,87.11,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,117.17,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,147.22,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,177.28,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,207.33,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,237.39,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,267.44,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,297.5,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,327.56,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,357.61,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,387.67,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,417.72,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,447.78,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,477.83,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,507.89,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,537.94,316.5,30.06,11.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,25.0,264.5,545.0,50.0,0 G,0 g,0.5
1,27.0,301.5,541.0,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,289.5,51.04,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
