page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,ICT Lab,29.0,453.5,F2,7.5,27.0,451.5,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,112.31,454.0,F2,7.0,103.86,451.5,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Internet,131.48,453.5,F2,7.5,129.48,451.5,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,214.78,454.0,F2,7.0,206.33,451.5,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Desktop,233.95,453.5,F2,7.5,231.95,451.5,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,5,328.54,454.0,F2,7.0,308.81,451.5,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Free text books,340.43,453.0,F2,7.5,338.43,451.0,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,518.15,453.5,F2,7.0,484.96,451.0,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,0,562.11,453.5,F2,7.0,524.04,451.0,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Laptop,29.0,442.0,F2,7.5,27.0,440.0,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,123.58,442.5,F2,7.0,103.86,440.0,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Tablet,131.48,442.0,F2,7.5,129.48,440.0,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,226.06,442.5,F2,7.0,206.33,440.0,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Printer,233.95,442.0,F2,7.5,231.95,440.0,76.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1,328.54,442.5,F2,7.0,308.81,440.0,25.62,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Transport,340.43,441.5,F2,7.5,338.43,439.5,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
